title,description,category,permitted_data_type,code_system,code_value,code_display,method_system,method_display,method_code,permitted_unit_system,permitted_unit_display,permitted_unit_code,component
S. Total Iron binding capacity,S. Total Iron binding capacity,laboratory,integer,http://loinc.org,2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,http://snomed.info/sct,Serum total iron binding capacity measurement,271027001,,µg/dL,µg/dL,"[  {    ""code"": {      ""code"": ""2500-7"",      ""system"": ""http://loinc.org"",      ""display"": ""Total Iron Binding Capacity (TIBC)""    },    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {      ""code"": ""ug/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""µg/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 250, ""max"": 450, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 250, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 450, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2501-5"",      ""system"": ""http://loinc.org"",      ""display"": ""Unsaturated Iron Binding Capacity (UIBC)""    },    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {      ""code"": ""ug/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""µg/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 150, ""max"": 375, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 150, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 375, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2502-3"",      ""system"": ""http://loinc.org"",      ""display"": ""Transferrin Saturation""    },    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {      ""code"": ""%"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""%""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 20, ""max"": 50, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 20, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 50, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
Glycosylated haemoglobin (HbA1C),Glycosylated haemoglobin (HbA1C),laboratory,decimal,http://loinc.org,41995-2,Hemoglobin A1c [Mass/volume] in Blood,http://snomed.info/sct,Total glycosylated hemoglobin level,408254005,,Percentage,Percentage,"[  {    ""code"": {      ""code"": ""4548-4"",      ""system"": ""http://loinc.org"",      ""display"": ""Hemoglobin A1c""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""%"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""%""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""max"": 5.7, ""interpretation"": { ""display"": ""Normal"" } },          { ""min"": 5.7, ""max"": 6.4, ""interpretation"": { ""display"": ""Borderline"" } },          { ""min"": 6.5, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""27353-2"",      ""system"": ""http://loinc.org"",      ""display"": ""Estimated Average Glucose""    },    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {      ""code"": ""mg/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mg/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""max"": 117, ""interpretation"": { ""display"": ""Normal"" } },          { ""min"": 117, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""17855-8"",      ""system"": ""http://loinc.org"",      ""display"": ""Hemoglobin A1c (Calculated)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""%"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""%""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""max"": 5.7, ""interpretation"": { ""display"": ""Normal"" } },          { ""min"": 5.7, ""max"": 6.4, ""interpretation"": { ""display"": ""Borderline"" } },          { ""min"": 6.5, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
S. Sodium,S. Sodium,laboratory,decimal,http://loinc.org,2951-2,Sodium [ Moles/volume] in Serum or Plasma,http://snomed.info/sct,"Sodium measurement, serum",104934005,,mmol/L,mmol/L,
S. Potassium,S. Potassium,laboratory,decimal,http://loinc.org,2823-3,Potassium [Moles/volume] in Serum or Plasma,http://snomed.info/sct,Serum potassium measurement,271236005,,mmol/L,mmol/L,
S.Ionised Calcium,S.Ionised Calcium,laboratory,decimal,http://loinc.org,17863-2,Calcium.ionized [Mass/volume] in Serum or Plasma,http://snomed.info/sct,Measurement of serum ionized calcium,391084000,,mg/dL,mg/dL,"[  {    ""code"": {      ""code"": ""1995-0"",      ""system"": ""http://loinc.org"",      ""display"": ""Calcium, Ionized""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mmol/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mmol/L""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 1.1, ""max"": 1.3, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 1.1, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 1.3, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
S.Chloride,S.Chloride,laboratory,decimal,http://loinc.org,2075-0,Chloride [Moles/volume] in Serum or Plasma,http://snomed.info/sct,Serum chloride measurement,271238006,,mmol/L,mmol/L,
Arterial blood gas test,Arterial blood gas test,laboratory,integer,http://loinc.org,24336-0,Gas panel - Arterial blood,http://snomed.info/sct,Analysis of arterial blood gases and pH,60170009,,mm[Hg],mm[Hg],"[  {    ""code"": {      ""code"": ""2744-1"",      ""system"": ""http://loinc.org"",      ""display"": ""pH of Arterial blood""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""[pH]"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""pH""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 7.35, ""max"": 7.45, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 7.35, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 7.45, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2019-8"",      ""system"": ""http://loinc.org"",      ""display"": ""pCO₂ (Carbon dioxide pressure)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mm[Hg]"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mmHg""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 35, ""max"": 45, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 35, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 45, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2703-7"",      ""system"": ""http://loinc.org"",      ""display"": ""pO₂ (Oxygen pressure)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mm[Hg]"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mmHg""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 75, ""max"": 100, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 75, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 100, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""1960-4"",      ""system"": ""http://loinc.org"",      ""display"": ""HCO₃⁻ (Bicarbonate)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mmol/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mmol/L""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 22, ""max"": 26, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 22, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 26, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""1925-7"",      ""system"": ""http://loinc.org"",      ""display"": ""Base Excess (BE)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mmol/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mmol/L""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": -2, ""max"": 2, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": -2, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 2, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2708-6"",      ""system"": ""http://loinc.org"",      ""display"": ""O₂ Saturation (sO₂)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""%"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""%""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 95, ""max"": 100, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 95, ""interpretation"": { ""display"": ""Low"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2518-9"",      ""system"": ""http://loinc.org"",      ""display"": ""Lactate""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mmol/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mmol/L""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 0.5, ""max"": 2.0, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 0.5, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 2.0, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2026-3"",      ""system"": ""http://loinc.org"",      ""display"": ""Carbon dioxide, Total""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mmol/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mmol/L""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 22, ""max"": 28, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 22, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 28, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""20509-6"",      ""system"": ""http://loinc.org"",      ""display"": ""Hemoglobin on ABG""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""g/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""g/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [          { ""metric"": ""patient_gender"", ""operation"": ""equality"", ""value"": ""male"" }        ],        ""ranges"": [          { ""min"": 13, ""max"": 17, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 13, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 17, ""interpretation"": { ""display"": ""High"" } }        ]      },      {        ""conditions"": [          { ""metric"": ""patient_gender"", ""operation"": ""equality"", ""value"": ""female"" }        ],        ""ranges"": [          { ""min"": 12, ""max"": 15, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 12, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 15, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
Smear for leprosy,Smear for leprosy,laboratory,string,http://loinc.org,11545-1,Microscopic observation [Identifier] in Specimen by Acid fast stain,http://snomed.info/sct,Ziehl–Neelsen (ZN) staining for Acid-Fast Bacilli (AFB),406979008,,,,"[  {    ""code"": {      ""code"": ""6657-1"",      ""system"": ""http://loinc.org"",      ""display"": ""Microscopic observation in Tissue by Acid fast stain (Ziehl-Neelsen)""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Gram staining for clinical specimen,Gram staining for clinical specimen,laboratory,string,http://loinc.org,664-3,Microscopic observation [Identifier] in Specimen by Gram stain,http://snomed.info/sct,Gram stain microscopy,391245000,,,,"[  {    ""code"": {      ""code"": ""664-3"",      ""system"": ""http://loinc.org"",      ""display"": ""Microscopic observation by Gram stain""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Test for Leptospirosis,Test for Leptospirosis,laboratory,boolean,http://loinc.org,56953-3,Leptospira interrogans IgM Ab [Presence] in Serum by Immunoassay,http://snomed.info/sct,IgM ELISA (more sensitive),414464004,,,,"[  {    ""code"": {      ""code"": ""56953-3"",      ""system"": ""http://loinc.org"",      ""display"": ""KOH Preparation""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
